"topic","type","notebooklm_prompt","youtube_desc"
"The Airbnb Effect on Cities","Real Estate / Business","Create a long overview of short-term rentals and cities. Cover housing supply, tourism, neighborhood change, investor behavior, regulation, local economies, and platform incentives.","Airbnb changed travel, but it also changed housing markets. This video explains the tension between tourists, landlords, renters, and cities."
"The Office Real Estate Meltdown","Real Estate / Finance","Create a 25 to 35 minute explainer on the office property crisis. Cover remote work, commercial mortgages, banks, downtown economies, conversions, vacancies, and systemic risk.","Remote work did not just change calendars. It shook the economics of office towers, local taxes, and regional banks."
"Why Cities Are Struggling After Remote Work","Business / Urbanism","Create a long-form overview of cities after remote work. Cover downtown foot traffic, transit, restaurants, office taxes, housing conversions, hybrid work, and examples of adaptation.","The workweek changed, and cities are still adjusting. This video explains the ripple effects of empty offices and hybrid schedules."
"The Creator Economy Is Growing Up","Creator Economy / Business","Create a 30 minute explainer about the creator economy's maturation. Cover YouTube, TikTok, podcasts, newsletters, brand deals, subscriptions, agencies, burnout, AI tools, and platform risk.","The creator economy is no longer just viral clips. It is becoming a real industry with teams, tools, investors, and serious business risks."
"Why Faceless YouTube Channels Work","Creator Economy / YouTube","Create a long overview of faceless YouTube channels. Cover formats, niches, scripting, retention, voiceovers, editing, monetization, outsourcing, ethical concerns, and what separates quality from spam.","Faceless channels can build huge audiences without a personality on camera. This video explains the model, the opportunity, and the traps."
"The Hidden Economics of YouTube Automation","Creator Economy / Business","Create a 25 to 35 minute explainer on YouTube automation. Cover content pipelines, outsourcing, RPM, copyright risk, audience retention, quality control, platform policy, and realistic profits.","YouTube automation is sold as passive income, but the real economics are more complicated. Here is what actually drives profit."
"Why Short-Form Video Is Eating the Internet","Media / Business","Create a long explainer on short-form video dominance. Cover TikTok, Reels, Shorts, attention, algorithms, advertising, music, shopping, creator burnout, and cultural effects.","Short-form video changed how people discover ideas, products, music, and creators. This video explains why the format is so powerful."
"The Algorithm That Shapes What You Believe","Media / Society","Create a 30 minute overview of recommendation algorithms. Cover engagement incentives, personalization, polarization, rabbit holes, creator strategy, platform responsibility, and user control.","Algorithms do not just show us content. They shape what we notice, trust, buy, and believe."
"Why Podcasts Became Big Business","Media / Business","Create a long overview of the podcast industry. Cover ads, host-read sponsorships, networks, celebrity deals, video podcasts, YouTube, subscriptions, measurement, and consolidation.","Podcasts went from hobbyist audio to a serious media business. This video explains where the money comes from and why video changed the game."
"The Streaming Wars Are Changing Again","Media / Business","Create a 25 to 35 minute explainer on the streaming business. Cover bundling, ads, password crackdowns, sports rights, churn, profitability, Netflix, Disney, Amazon, and consumer fatigue.","Streaming was supposed to replace cable. Now it is starting to look a lot like cable again."
"Why Sports Rights Are So Expensive","Sports / Business","Create a long-form overview of sports media rights. Cover live attention, streaming competition, leagues, broadcasters, gambling, advertising, cable decline, and fan costs.","Live sports are one of the last things people still watch in real time. That makes the rights incredibly valuable."
"The Business of Sports Betting","Sports / Finance","Create a 30 minute explainer on legalized sports betting. Cover sportsbooks, odds, margins, customer acquisition, data, regulation, addiction risks, leagues, and media partnerships.","Sports betting is now everywhere, from ads to broadcasts to apps. This video explains the business model and the societal cost."
"Why Microtransactions Took Over Gaming","Gaming / Business","Create a long overview of gaming monetization. Cover free-to-play, loot boxes, battle passes, cosmetics, whales, regulation, player psychology, and the future of game economies.","Games used to sell once. Now many are built around endless spending loops. Here is how microtransactions reshaped gaming."
"The Roblox Economy Explained","Gaming / Creator Economy","Create a 25 to 35 minute explainer on Roblox as a platform economy. Cover creators, virtual goods, young developers, revenue splits, brands, safety, education, and platform power.","Roblox is not just a game. It is a creator economy, marketplace, social platform, and business ecosystem."
"How Fortnite Became a Metaverse Without Saying Metaverse","Gaming / Tech","Create a long video overview of Fortnite's evolution. Cover battle royale, live events, creator tools, brand collaborations, virtual concerts, UEFN, and platform strategy.","Fortnite became more than a game by turning itself into a place where culture happens."
"The Return of Nuclear Families? Why Household Economics Are Changing","Society / Finance","Create a 30 minute overview of changing household economics. Cover rent, childcare, elder care, multigenerational living, marriage trends, fertility, wages, and cultural shifts.","Family structures are changing under financial pressure. This video looks at how housing, childcare, and work are reshaping private life."
"The Fertility Crisis Explained","Society / Economics","Create a long explainer on falling birth rates. Cover costs, housing, gender roles, work culture, childcare, education, immigration, policy, and long-term economic effects.","Many countries are having fewer children than needed to replace their populations. The consequences could reshape economies and societies."
"The Retirement Crisis Facing Millennials and Gen Z","Personal Finance / Society","Create a 25 to 35 minute overview of retirement insecurity. Cover pensions, 401(k)s, Social Security, housing, student debt, wages, longevity, and practical adaptation strategies.","Retirement used to feel like a predictable life stage. For younger generations, it looks more uncertain and more expensive."
"Why Everyone Feels Broke Even When the Economy Grows","Finance / Economy","Create a long video overview of the gap between macroeconomic growth and personal financial stress. Cover inflation, wages, rent, debt, healthcare, childcare, inequality, and perception.","The economy can look strong on paper while everyday life feels unaffordable. This video explains the disconnect."
"The Credit Card Debt Trap","Personal Finance / Economy","Create a 30 minute explainer on credit card debt. Cover interest rates, minimum payments, rewards incentives, consumer stress, banks, regulation, and practical escape strategies.","Credit cards offer convenience and rewards, but high interest can turn small balances into long-term traps."
"Buy Now Pay Later: Helpful Tool or Debt Machine?","Fintech / Consumer Finance","Create a long overview of buy now pay later services. Cover business models, merchant fees, consumer psychology, regulation, credit reporting, defaults, and long-term financial habits.","Buy now pay later made borrowing feel frictionless. This video explains why that convenience can be powerful and risky."
"The Student Loan System Explained","Personal Finance / Policy","Create a 25 to 35 minute explainer on student loans. Cover tuition inflation, federal loans, private loans, forgiveness debates, income-driven repayment, universities, and labor market outcomes.","Student loans are one of the biggest financial burdens in American life. This video explains how the system works and why it became so controversial."
"Why Healthcare Is So Expensive in America","Healthcare / Economics","Create a long-form overview of American healthcare costs. Cover insurance, hospitals, pharma, administrative costs, doctors, employer coverage, policy tradeoffs, and patient impact.","America spends more on healthcare than any other wealthy country, yet many people still struggle to afford care. Here is why."
"The Weight Loss Drug Revolution","Healthcare / Business","Create a 30 minute explainer on GLP-1 weight loss drugs. Cover how they work, obesity treatment, pharma profits, side effects, insurance coverage, food companies, and cultural impact.","Weight loss drugs are reshaping medicine, business, and culture. This video explains why their impact goes far beyond the scale."
"How Big Pharma Really Makes Money","Healthcare / Business","Create a long overview of pharmaceutical economics. Cover patents, research costs, pricing, generics, lobbying, insurance, blockbuster drugs, and global markets.","Drug companies fund lifesaving breakthroughs, but their pricing power is controversial. This video explains the business model behind medicine."
"The Mental Health App Boom","Healthcare / Tech","Create a 25 to 35 minute explainer about mental health apps. Cover therapy access, AI chatbots, privacy, clinical evidence, subscriptions, employer programs, and risks.","Mental health apps promise affordable support at scale. But privacy, quality, and evidence remain major questions."
"Why Longevity Became a Billionaire Obsession","Health / Science","Create a long video overview of the longevity industry. Cover aging science, supplements, biotech, diagnostics, lifestyle, venture funding, hype, ethics, and inequality.","Living longer has become a business, a science, and a status symbol. This video separates real research from expensive wishful thinking."
"The Future of Food Is Engineered","Food / Tech","Create a 30 minute explainer on food technology. Cover lab-grown meat, precision fermentation, plant-based protein, agriculture automation, regulation, cost, and consumer acceptance.","Food is becoming a high-tech industry, from engineered proteins to automated farms. The question is whether consumers will bite."
"Why Grocery Prices Still Feel High","Economy / Consumer","Create a long overview of food inflation. Cover supply chains, labor, fuel, weather, corporate margins, shrinkflation, global trade, and household budgets.","Even when inflation cools, grocery bills can still feel painful. This video explains what drives food prices."
"Shrinkflation and the Psychology of Paying More","Consumer / Business","Create a 25 to 35 minute explainer on shrinkflation. Cover package size changes, pricing psychology, inflation, consumer trust, brand strategy, regulation, and examples.","Sometimes prices rise without the sticker changing. This video explains shrinkflation and why it makes shoppers feel tricked."
"Fast Fashion's Race to the Bottom","Retail / Business","Create a long-form overview of fast fashion. Cover Shein, Temu, supply chains, influencer marketing, ultra-low prices, labor concerns, sustainability, and regulation.","Fast fashion has become faster, cheaper, and more controversial. This video explains the business model behind the clothes."
"Temu, Shein, and the New E-Commerce War","Retail / Tech","Create a 30 minute explainer on ultra-cheap e-commerce platforms. Cover supply chains, subsidies, advertising, data, tariffs, product quality, consumer behavior, and incumbent retailers.","Shopping apps selling shockingly cheap products are changing global retail. This video explains how the model works."
"Amazon's Invisible Empire","Business / Tech","Create a long overview of Amazon's business beyond shopping. Cover AWS, logistics, marketplace sellers, ads, Prime, devices, labor, antitrust, and future strategy.","Amazon is not just an online store. It is cloud infrastructure, advertising, logistics, and a marketplace that touches much of modern commerce."
"Why Ads Follow You Everywhere","Adtech / Privacy","Create a 25 to 35 minute explainer on digital advertising tracking. Cover cookies, device IDs, data brokers, auctions, privacy laws, Apple changes, Google changes, and consumer options.","The internet's ad machine watches, predicts, and bids on attention in milliseconds. This video explains how it works."
"Data Brokers: The Industry Selling Your Life","Privacy / Business","Create a long-form overview of data brokers. Cover location data, purchase data, people search sites, risk scores, law enforcement access, regulation, and how individuals can reduce exposure.","A hidden industry collects and sells details about where you go, what you buy, and who you are. This is the data broker economy."
"The Surveillance Economy Explained","Privacy / Society","Create a 30 minute explainer on surveillance capitalism. Cover free apps, data extraction, targeted ads, workplace monitoring, smart devices, governments, and resistance strategies.","Many digital services are free because users are the raw material. This video explains the economy built on personal data."
"Why TikTok Is a Geopolitical Flashpoint","Social Media / Geopolitics","Create a long overview of TikTok's geopolitical controversy. Cover algorithms, data concerns, China, creators, advertisers, regulation, free speech, and national security arguments.","TikTok is entertainment, commerce, culture, and geopolitical anxiety in one app. Here is why governments are fighting over it."
"The Future of Social Media After the Feed","Social Media / Tech","Create a 25 to 35 minute explainer on where social media is going. Cover private groups, messaging, AI content, creators, short video, social search, moderation, and platform fatigue.","The old social feed is changing. People are moving to video, messages, niche communities, and AI-generated content."
"Why Everyone Wants a Super App","Tech / Business","Create a long video overview of super apps. Cover WeChat, payments, messaging, shopping, identity, regulation, Western attempts, network effects, and privacy concerns.","A super app wants to be the front door to your digital life. This video explains why companies want one and why it is hard to build."
"Digital Identity: The Next Internet Layer","Tech / Policy","Create a 30 minute explainer on digital identity. Cover logins, government IDs, age verification, wallets, fraud prevention, privacy, surveillance risk, and global approaches.","The internet still struggles to know who is real, who is a bot, and who is old enough. Digital identity may solve problems while creating new ones."
"Deepfakes and the End of Believing Your Eyes","AI / Society","Create a long overview of deepfakes. Cover video, audio, elections, scams, watermarking, detection, legal issues, media literacy, and the future of evidence.","Seeing used to be believing. AI-generated media is making that assumption dangerous."
"The War on Bots","Internet / Cybersecurity","Create a 25 to 35 minute explainer about bots online. Cover spam, fake accounts, ticket scalping, scraping, AI agents, fraud, social manipulation, CAPTCHAs, and platform defenses.","The internet is full of automated accounts competing with humans for attention, money, and trust. This video explains the bot problem."
"Why Everything Became a Subscription","Business / Consumer","Create a long-form overview of subscription economics. Cover software, streaming, cars, gyms, retention, churn, investor incentives, consumer fatigue, and regulation.","Subscriptions promise predictable revenue for companies, but consumers are drowning in recurring charges. This video explains why."
"The Subscription Trap in Software","Software / Business","Create a 30 minute explainer on SaaS subscriptions. Cover cloud delivery, enterprise contracts, seat pricing, usage pricing, switching costs, procurement, and AI disruption.","Software used to be bought once. Now it is rented forever. This video breaks down the economics of SaaS."
"The Decline of Free Returns","Retail / Consumer","Create a long overview of online retail returns. Cover reverse logistics, fraud, environmental costs, clothing sizing, Amazon, retailer policies, and how shoppers are changing.","Free returns helped e-commerce grow, but they are expensive and wasteful. Retailers are starting to rethink the deal."
"Why Logistics Is the Hidden Backbone of Everything","Supply Chain / Business","Create a 25 to 35 minute explainer on modern logistics. Cover ports, trucking, warehouses, containers, last-mile delivery, automation, geopolitics, and fragility.","Almost everything you own traveled through a massive logistics system. This video explains the invisible network behind modern life."
"The Panama Canal, Shipping, and Global Trade Fragility","Supply Chain / Geopolitics","Create a long overview of shipping chokepoints. Cover the Panama Canal, Suez Canal, drought, conflict, rerouting, costs, insurance, and supply-chain resilience.","Global trade depends on a few narrow passages and predictable weather. When they fail, the whole economy feels it."
"The New Cold War Over Critical Minerals","Geopolitics / Energy","Create a 30 minute explainer on critical minerals. Cover lithium, cobalt, nickel, rare earths, China, mining, processing, EVs, defense, environmental issues, and recycling.","Clean energy, electronics, and defense all depend on critical minerals. That makes mining and processing a geopolitical battleground."
"Rare Earths Explained: Tiny Elements, Huge Power","Geopolitics / Science","Create a long-form overview of rare earth elements. Cover what they are, why magnets matter, China dominance, mining challenges, defense uses, and supply diversification.","Rare earths are obscure on the periodic table but central to modern technology and national security."
"Why Taiwan Matters to the Whole World","Geopolitics / Tech","Create a 25 to 35 minute explainer on Taiwan's global importance. Cover semiconductors, TSMC, China, the United States, trade, defense, and economic consequences of conflict.","A small island sits at the center of the global chip supply chain. This video explains why Taiwan matters far beyond its borders."
"The South China Sea Explained","Geopolitics / Trade","Create a long overview of the South China Sea. Cover shipping lanes, territorial claims, military bases, fisheries, energy, China, ASEAN, the United States, and escalation risks.","The South China Sea is one of the world's most important and contested waterways. Here is why it matters."
"The Future of Warfare Is Cheap Drones","Defense / Tech","Create a 30 minute explainer on drone warfare. Cover consumer drones, loitering munitions, swarm tactics, electronic warfare, cost asymmetry, Ukraine lessons, and defense industry changes.","Cheap drones are changing battlefield economics. This video explains why small flying machines can challenge expensive military systems."
"How Drones Are Changing Everything Beyond War","Drones / Tech","Create a long overview of civilian drone use. Cover delivery, agriculture, inspections, mapping, disaster response, filmmaking, regulation, privacy, and autonomy.","Drones are not just weapons or toys. They are becoming tools for farming, logistics, infrastructure, and emergency response."
"The Business of Private Security","Business / Society","Create a 25 to 35 minute explainer on private security. Cover corporate security, executive protection, cyber services, gated communities, events, public safety gaps, and ethical concerns.","As public and digital risks rise, private security is becoming a bigger business. This video explains why."
"Why Trust in Institutions Is Falling","Society / Politics","Create a long-form overview of declining institutional trust. Cover media, government, corporations, science, inequality, social media, scandals, polarization, and ways trust can be rebuilt.","Many people trust institutions less than they used to. This video explores the causes and consequences of that collapse."
"The Loneliness Economy","Society / Business","Create a 30 minute explainer on businesses built around loneliness. Cover dating apps, companion apps, therapy apps, social clubs, remote work, aging, urban design, and AI companions.","Loneliness is a personal feeling and a market opportunity. This video examines the industries growing around social disconnection."
"Dating Apps and the Market Design of Romance","Society / Tech","Create a long overview of dating apps. Cover matching algorithms, gender imbalance, subscriptions, incentives, burnout, safety, and how app design shapes relationships.","Dating apps turned romance into a marketplace. This video explains the incentives behind swipes, matches, and paid features."
"Why College Is Being Repriced","Education / Finance","Create a 25 to 35 minute explainer on higher education economics. Cover tuition, student debt, online learning, employer credentialing, demographics, elite brands, and vocational alternatives.","College used to be the default path to upward mobility. Rising costs and changing job markets are forcing a rethink."
"AI Tutors and the Future of Education","Education / AI","Create a long-form overview of AI in education. Cover personalized tutoring, cheating, teacher workload, accessibility, data privacy, edtech business models, and classroom adoption.","AI tutors could make personalized learning widely available, but they also raise big questions about cheating, privacy, and the role of teachers."
"The Skills Gap Myth and Reality","Jobs / Economy","Create a 30 minute explainer on the skills gap. Cover employer complaints, training, apprenticeships, credential inflation, automation, wages, education, and labor market mismatch.","Companies say they cannot find skilled workers, while workers struggle to find good jobs. This video unpacks the contradiction."
"Why Gen Z Is Changing the Workplace","Work / Society","Create a long overview of Gen Z at work. Cover remote work, values, wages, mental health, career expectations, management friction, entrepreneurship, and economic context.","Gen Z entered work during a strange economic and technological moment. Their expectations are reshaping offices and management."
"The Four-Day Workweek Debate","Work / Business","Create a 25 to 35 minute explainer on the four-day workweek. Cover productivity trials, burnout, scheduling, service industries, management concerns, wages, and global experiments.","Can people work less and produce the same amount? The four-day workweek debate is testing old assumptions about productivity."
"Why Middle Management Is Under Attack","Work / Business","Create a long-form overview of middle management pressure. Cover layoffs, AI tools, bureaucracy, remote teams, productivity metrics, flattening organizations, and hidden coordination work.","Middle managers are often blamed for bureaucracy, but they also keep organizations functioning. AI and cost-cutting are putting them under pressure."
"The Gig Economy's Next Phase","Labor / Business","Create a 30 minute explainer on the gig economy. Cover rideshare, delivery, freelancers, labor classification, algorithmic management, pay transparency, benefits, and regulation.","The gig economy promised flexibility, but workers and regulators are asking what that flexibility costs."
"Why Unions Are Making a Comeback","Labor / Economy","Create a long overview of modern union activity. Cover warehouses, coffee shops, media, auto workers, teachers, public opinion, wages, automation, and employer resistance.","Unions are showing new strength in parts of the economy. This video explains why labor organizing is back in the spotlight."
